hs4,hs_revision,supports_top50_line,top50_line_name,primary_ccod_rubro,primary_rubro_name,attribution_type,in_opex_named,n_firms,evidencing_firms_sample,evidence_sources,usd_promedio_anual,usd_acumulado_2023_2025,share_2023_2025,descripcion_top_ncm,n_ncm,max_rubro_opex_2023_2025_avg_usd
3403,HS92,302G,"Jabones, productos orgánicos tensoactivos, ceras",302G,"Jabones, productos orgánicos tensoactivos, ceras",clean,yes,1,LATIN MATERIALS,registry-declared,57260.34000196317,171781.02000588953,5.83103871419633e-06,"Preparaciones lubricantes ncop.,que no contengan aceites de petróleo ni minerales bituminosos",1,57260.34000196317
8903,HS92,314B,Vahículos de navegación marítima y fluvial,314B,Vahículos de navegación marítima y fluvial,clean,yes,0,,,56645.84666860878,169937.54000582633,5.768462515447209e-06,"Yates y demás barcos y embarcaciones de recreo o deporte; botes de remo y canoas; de longitud inferior o igual a 7,5 m n.c.o.p.",2,56645.84666860878
4107,HS92,214B,Pieles y cueros preparados,214B,Pieles y cueros preparados,clean,yes,1,ZANIN HNOS.,registry-declared,54613.48333520576,163840.45000561728,5.561499209291853e-06,"Cueros y pieles de bovino excluido enteros,preparados después del curtido o secado,o apergaminados,depilados,divididos c/la flor",2,54613.48333520576
3214,HS92,302E,"Extractos curtientes y tintóreos, pinturas y tintas",302E,"Extractos curtientes y tintóreos, pinturas y tintas",clean,yes,3,MOSAICOS BLANGINO; TERSUAVE; AQUAMAR,registry-declared,54371.5966685308,163114.7900055924,5.536866967887396e-06,Plastes(enduidos)no refractarios utilizados en albañilería,3,54371.5966685308
3209,HS92,302E,"Extractos curtientes y tintóreos, pinturas y tintas",302E,"Extractos curtientes y tintóreos, pinturas y tintas",clean,yes,3,QUIMEX; TERSUAVE; PINTURAS PACLIN,registry-declared,53582.59000183707,160747.7700055112,5.456519411112631e-06,"Pinturas a base de polímeros acrílicos o vinílicos,disueltas en medio acuoso",1,53582.59000183707
3005,HS92,302C,Productos farmacéuticos,302C,Productos farmacéuticos,aggregate-broad-chapter,yes,3,LABORATORIO DERMACOR / OSTOMY; TEDEQUIM SRL; TISSUM,registry-declared,52475.81000179913,157427.4300053974,5.343811784366122e-06,Apósitos reabsorbibles ncop.,2,52475.81000179913
4821,HS92,306A,"Papel,cartón y sus manufacturas",306A,"Papel,cartón y sus manufacturas",aggregate-broad-chapter,yes,1,INPAR AUTOADHESIVOS,registry-declared,52255.50000179157,156766.50000537475,5.321376777184458e-06,"Etiquetas de todas clases,s/imprimir,de papel o  cartón",2,52255.50000179157
8480,HS92,399Z,Resto de MOI,399Z,Resto de MOI,aggregate-resto,yes,9,DIMAT S.R.L.; GIACOBONE; GRAFIN ARGENTINA S.A.; METALÚRGICA PROGRESO S.R.L.; PRODISMO,registry-declared,50641.02333506957,151923.0700052087,5.156968463393447e-06,"Moldes p/metales o carburos metálicos excluidas las lingoteras,p/el moldeo por inyección o compresión",5,50641.02333506957
2909,HS92,302B,Productos químicos orgánicos,302B,Productos químicos orgánicos,aggregate-broad-chapter,yes,0,,,49511.33666836417,148534.0100050925,5.041928163453825e-06,Éter dietílico(óxido de dietilo),1,49511.33666836417
7008,HS92,309C,Vidrio y sus manufacturas,309C,Vidrio y sus manufacturas,clean,yes,0,,,48768.5366683387,146305.6100050161,4.966286007698113e-06,Vidrieras aislantes de paredes múltiples,1,48768.5366683387
